12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[115] [PowerFlash] ASU1GA30GT_G30CA            (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[116] [SAMSUMG] K522H1GACE                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[117] [HYNIX] H8BCS0SI0MBR                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[118] [Micron] MT29F4G08ABC                    (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[119] [Micron] MT29C4G48MAZAPAKD               (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[120] [HYNIX] H8BCS0UN0MCR                     (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[121] [TOSHIBA] TYBC0A111236KC10               (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[122] [TOSHIBA] mLBA                           (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[123] [HYNIX] H9DA4GH4JJAMCR_4EM               (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[124] [HYNIX] H9DA4VH2GJAMCR_4EM               (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
12/11/17 03:05:38.201 BROM_DLL[5904][2632]: 	[125] [SAMSUNG] KA100O015B_BJTT                (FlashToolLib/sv5/common/interface/src/brom_ini_util.cpp:223)
